Rank,Model,Family,Model File,MAE,RMSE,R2 Score,Within 10% Rate,Accuracy (%),Within 10% Rate (%)
1,Stacking,Ensemble,stacking_model.pkl,0.0939069714052385,0.144754597057874,0.8877135075066039,1.0,88.77135075066039,100.0
2,Random Forest,Ensemble,random_forest.pkl,0.09834670356702524,0.14870678705501425,0.8814983582508862,1.0,88.14983582508862,100.0
3,AdaBoost,Ensemble,boosting_model.pkl,0.09787810009340098,0.1490443285996053,0.8809597866895773,1.0,88.09597866895773,100.0
4,Bagging,Ensemble,bagging_model.pkl,0.100018098295475,0.15018251586877496,0.8791347270425393,1.0,87.91347270425392,100.0
5,Manual Linear Regression,Manual,manual_linear_regression.pkl,0.09959226588288372,0.15587987941661352,0.8697904287916826,1.0,86.97904287916826,100.0
6,Voting,Ensemble,voting_model.pkl,0.09875414332705403,0.15853569778747298,0.8653157155267421,0.9965753424657534,86.53157155267421,99.65753424657534
7,Decision Tree,Classical ML,decision_tree.pkl,0.14155973908318042,0.2056996535279703,0.7732590787849559,1.0,77.3259078784956,100.0
8,SVM,Classical ML,svm.pkl,0.1285955947658852,0.21584140681364508,0.750349573476126,0.9965753424657534,75.03495734761259,99.65753424657534
9,KNN,Classical ML,knn.pkl,0.13891957838449612,0.21680428454250245,0.7481172027896903,0.9931506849315068,74.81172027896903,99.31506849315068
10,Linear Regression,Classical ML,linear_regression.pkl,0.09888518899392039,0.2325480086850793,0.7102069028609477,0.9965753424657534,71.02069028609476,99.65753424657534
